Sample ID,Taxon,rpkm
PS4,JAOTYK01_sp029861955_nosZII,2902.16395587
PS4,JAHEDG01_sp024641335_nosZII,1707.15526816
PS4,unclassified,260511.89392147
PS4,JAFDET01_sp947260035_nosZII,1707.15526816
PS4,JANQEY01_sp028278125_nosZII,4780.03475085
PS4,Benthicola_azotiphorus_nosZII,4438.60369722
PS4,G020343875_sp020343875_nosZII,3414.31053632
PS4,WVZY01_sp011772205_nosZII,4438.60369722
PS4,UBA11865_sp003519205_nosZII,7340.7676531
PS4,IDS-52_sp020344755_nosZII,5292.1813313
PS4,Unclassified_Species_nosZII,16559.40610117
PS4,G020351855_sp020351855_nosZII,2560.73290224
PS4,G020350785_sp020350785_nosZII,2731.44842906
PS4,G020350445_sp030597245_nosZII,1877.87079498
PS4,JABDQW01_sp937998645_nosZII,3414.31053632
PS4,JABDQW01_sp021768055_nosZII,4438.60369722
PS4,Robiginitalea_sp006227965_nosZII,3585.02606314
PS4,JAJDYQ01_sp026196145_nosZII,2219.30184861
PS4,JAUVPY01_sp030598425_nosZII,4097.17264359
PS4,JASJAX01_sp030066755_nosZII,2048.58632179
PS4,JAACFF01_sp020432765_nosZII,1877.87079498
PS4,CALZIK01_sp024224155_nosZII,5292.1813313
PS4,PFL25_sp937968125_nosZII,1707.15526816
PS4,SZUA-442_sp030066265_nosZII,2902.16395587
PS4,JAACFF01_sp009937635_nosZII,2731.44842906
PS4,UBA11865_sp024638855_nosZII,6657.90554583
PS4,JALGVQ01_sp025774615_nosZII,2048.58632179
PS4,SG8-38_sp020351445_nosZII,4267.8881704
PS4,J065_sp024276295_nosZII,2731.44842906
PS4,Lutimonas_sp020347545_nosZII,1707.15526816
PS4,Sulfomarinibacter_sp029938595_nosZII,6145.75896538
PS4,JABDNZ01_sp028278645_nosZII,3243.59500951
PS4,CALZJC01_sp945787525_nosZII,4097.17264359
PS4,JAFDCJ01_sp902749685_nosZII,1877.87079498
PS4,JANQRA01_sp028284765_nosZII,3072.87948269
PS4,SG8-38_sp024640845_nosZII,1707.15526816
PS4,JALSRI01_sp026984835_nosZII,3072.87948269
PS4,WVWW01_sp011773795_nosZII,4267.8881704
PS4,IDS-52_sp028280525_nosZII,2048.58632179
PS4,JAAUQL01_sp022360055_nosZII,2560.73290224
PS4,GCA-020352575_sp020352575_nosZII,3926.45711677
PS4,JAAEQD01_sp024231855_nosZII,2390.01737543
PS4,JABGPL01_sp018644935_nosZII,2048.58632179
